time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-11-14 09:30:00-05:00,MLTrader,de64824453fe4fadb31d367a84f534db,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-14 09:30:00-05:00,MLTrader,de64824453fe4fadb31d367a84f534db,GOOG,sell,market,fill,1,gtc,0.0,1,stock,135.64999389648438,2.6161057031147616e+26,0.0
2023-11-15 09:30:00-05:00,MLTrader,75315a705acc48499f0c6a2051abc803,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-15 09:30:00-05:00,MLTrader,75315a705acc48499f0c6a2051abc803,GOOG,sell,market,fill,1,gtc,0.0,1,stock,136.63999938964844,3.3762964104129524e+26,0.0
2023-11-16 09:30:00-05:00,MLTrader,9292239eee404805b140f9644ae8c99d,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,9292239eee404805b140f9644ae8c99d,GOOG,sell,market,fill,1,gtc,0.0,1,stock,136.9600067138672,4.3789299933993356e+26,0.0
2023-11-17 09:30:00-05:00,MLTrader,f0f93135ff444a3cb52dc8fea15ce07f,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-17 09:30:00-05:00,MLTrader,f0f93135ff444a3cb52dc8fea15ce07f,GOOG,sell,market,fill,1,gtc,0.0,1,stock,137.82000732421875,5.657086955815144e+26,0.0
2023-11-20 09:30:00-05:00,MLTrader,e2235b28dc2a4473bcf80f21a5ec2709,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-20 09:30:00-05:00,MLTrader,e2235b28dc2a4473bcf80f21a5ec2709,GOOG,sell,market,fill,1,gtc,0.0,1,stock,135.5,7.480130593280009e+26,0.0
2023-11-21 09:30:00-05:00,MLTrader,205215ae398042539b499221afc64ad3,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-21 09:30:00-05:00,MLTrader,205215ae398042539b499221afc64ad3,GOOG,sell,market,fill,1,gtc,0.0,1,stock,137.94000244140625,9.552160219556111e+26,0.0
2023-11-22 09:30:00-05:00,MLTrader,c96a544d9b37408c9c6edbbc7b444db1,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-22 09:30:00-05:00,MLTrader,c96a544d9b37408c9c6edbbc7b444db1,GOOG,sell,market,fill,1,gtc,0.0,1,stock,139.10000610351562,1.2314251833558067e+27,0.0
2023-11-24 09:30:00-05:00,MLTrader,54bd851171e647f5a3c1bff7bc8504d5,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-24 09:30:00-05:00,MLTrader,54bd851171e647f5a3c1bff7bc8504d5,GOOG,sell,market,fill,1,gtc,0.0,1,stock,139.5399932861328,1.595805047951006e+27,0.0
2023-11-27 09:30:00-05:00,MLTrader,bfd7f78ac8b646e6a8f41eed2c1fcf5a,GOOG,sell,market,new,1,gtc,0.0,1,stock,,,
