Month,Asset Name,Open,Close,High,Low,Volume,Dividends,Splits,Date of High,Date of Low,Percent Change,PE Ratio,Beta
1999-07,BOUYGUES,8.174204509923523,8.20163631439209,8.890742875689552,8.058862785956483,145829500,,,1999-07-05 00:00:00+02:00,1999-07-13 00:00:00+02:00,1.8232314095302238,13.036101,0.865
1999-08,BOUYGUES,8.154046185558057,8.28095817565918,8.522088877109422,7.4147895858779185,160034900,,,1999-08-03 00:00:00+02:00,1999-08-11 00:00:00+02:00,0.9671467768925135,13.036101,0.865
1999-09,BOUYGUES,8.309512733660345,9.448539733886719,9.607178745237109,8.033480742486176,182708200,,,1999-09-30 00:00:00+02:00,1999-09-22 00:00:00+02:00,14.099594919577019,13.036101,0.865
1999-10,BOUYGUES,9.369220463709542,10.501903533935547,11.003206964988442,9.004353124504206,336898500,,,1999-10-25 00:00:00+02:00,1999-10-18 00:00:00+02:00,11.148429595644194,13.036101,0.865
1999-11,BOUYGUES,10.501903533935547,14.53133487701416,15.797275873680904,10.248083383911371,303630400,,,1999-11-26 00:00:00+01:00,1999-11-02 00:00:00+01:00,38.36858080116643,13.036101,0.865
1999-12,BOUYGUES,14.467880324219655,20.020246505737305,21.860455181913373,13.677857262709622,265925300,,,1999-12-27 00:00:00+01:00,1999-12-02 00:00:00+01:00,37.772934662771895,13.036101,0.865
2000-01,BOUYGUES,20.559623524345547,20.46443748474121,21.701817371683106,17.164743303634275,233140100,,,2000-01-21 00:00:00+01:00,2000-01-07 00:00:00+01:00,2.2187088399566512,13.036101,0.865
2000-02,BOUYGUES,20.718261591725447,27.444547653198242,30.04623585285214,20.591349863349574,260905800,,,2000-02-15 00:00:00+01:00,2000-02-01 00:00:00+01:00,34.10848782753777,13.036101,0.865
2000-03,BOUYGUES,27.999783729244825,26.175443649291992,31.06152878361485,23.85930900253253,269685900,,,2000-03-03 00:00:00+01:00,2000-03-21 00:00:00+01:00,-4.624248211131854,13.036101,0.865
2000-04,BOUYGUES,26.334085001297716,22.272920608520508,26.65136313384347,18.814585586364007,209809600,,,2000-04-03 00:00:00+02:00,2000-04-17 00:00:00+02:00,-14.909099891711064,13.036101,0.865
2000-05,BOUYGUES,22.272920608520508,21.06726837158203,24.747689092629795,16.688825932458137,316588100,,,2000-05-04 00:00:00+02:00,2000-05-24 00:00:00+02:00,-5.413085504723858,13.036101,0.865
2000-06,BOUYGUES,21.57491037580702,22.332061767578125,24.804536518151902,21.25763228204515,223263400,,,2000-06-15 00:00:00+02:00,2000-06-01 00:00:00+02:00,6.0035946459114475,13.036101,0.865
2000-07,BOUYGUES,22.41181218032296,21.19950294494629,24.40574891046183,20.465736775359684,16202117,,,2000-07-07 00:00:00+02:00,2000-07-31 00:00:00+02:00,-5.071447654135075,13.036101,0.865
2000-08,BOUYGUES,21.34306883243071,22.571332931518555,23.46461633915804,19.03010335730362,19380915,,,2000-08-31 00:00:00+02:00,2000-08-03 00:00:00+02:00,6.4710478832207485,13.036101,0.865
